,MAE,MSE,RMSE,R2,set,modelo
2,331.370728572425,210510.8900841919,458.81465766057636,0.163340937647794,test,Cas_enc_2_Decision tree II
3,271.6969662267351,137529.54205881568,370.8497567193697,0.4611505222703698,train,Cas_enc_2_Decision tree II
6,248.71018014968192,115775.56208629857,340.258081588518,0.5398590867214422,test,Cas_enc_Decision tree II
7,253.30284385413935,120989.59452097266,347.83558547246525,0.5259550868680668,train,Cas_enc_Decision tree II
