,MAE,MSE,RMSE,R2,set,modelo
2,0.5487117060043935,0.5743800324402594,0.7578786396516657,0.4180860017426442,test,Cas_enc_est_3_Decision tree II
3,0.49415236542202595,0.4664625781851784,0.6829806572555173,0.5341202900501845,train,Cas_enc_est_3_Decision tree II
4,331.370728572425,210510.8900841919,458.8146576605764,0.163340937647794,test,Cas_enc_2_Decision tree II
5,271.6969662267351,137529.54205881568,370.8497567193697,0.4611505222703698,train,Cas_enc_2_Decision tree II
6,248.71018014968192,115775.56208629857,340.258081588518,0.5398590867214422,test,Cas_enc_Decision tree II
7,253.30284385413933,120989.59452097266,347.83558547246525,0.5259550868680668,train,Cas_enc_Decision tree II
