,MAE,MSE,RMSE,R2,set,modelo
0,548.013698630137,684980.8493150685,827.6356984296101,0.6826693305052629,test,Reg_enc_Decission Tree I
1,0.0,0.0,0.0,1.0,train,Reg_enc_Decission Tree I
2,549.1754714690557,581592.876272939,762.6223680649152,0.7305658151091297,test,Reg_enc_Decision tree II
3,480.11557605848606,403152.83769725915,634.9431767467536,0.8382913425894791,train,Reg_enc_Decision tree II
